pickup_zipcode,dropoff_zipcode,trip_time_in_secs
10002,7030,1280.3333333333333
10002,7086,1620.0
10002,7087,600.0
10002,7093,1800.0
10002,7094,1440.0
10002,7114,1685.4444444444443
10002,7302,1156.5714285714287
10002,7304,2658.0
10002,7306,1493.0
10002,7310,1127.0
10002,7675,3420.0
10002,8817,2160.0
10002,8865,840.0
10002,10001,963.6445497630332
10002,10002,321.68093922651934
10002,10003,455.9678631051753
10002,10004,612.4256198347107
10002,10005,682.5471698113207
10002,10006,696.4058577405858
10002,10007,640.9417177914111
10002,10009,320.2174919018973
10002,10010,548.4088614694335
10002,10011,855.0110619469026
10002,10012,395.5140257771039
10002,10013,584.6966292134831
10002,10014,703.0371577574967
10002,10016,670.6811594202899
10002,10017,631.0660980810235
10002,10018,1007.7258566978193
10002,10019,1168.4074074074074
10002,10020,1060.2205882352941
10002,10021,829.1775147928994
10002,10022,827.5637583892617
10002,10023,1251.7310126582279
10002,10024,1312.8432835820895
10002,10025,1393.222748815166
10002,10026,1390.4392523364486
10002,10027,1446.28
10002,10028,921.9311926605504
10002,10029,1012.5849056603773
10002,10030,1259.85
10002,10031,1530.6279069767443
10002,10032,1436.6888888888889
10002,10033,1450.5
10002,10034,1473.1666666666667
10002,10035,1003.4761904761905
10002,10036,1087.4144144144145
10002,10037,1164.725
10002,10038,540.5
10002,10039,1632.125
10002,10040,1674.4166666666667
10002,10044,785.8367346938776
10002,10065,799.2798165137615
10002,10069,1289.295081967213
10002,10075,884.1233766233767
10002,10103,384.44761904761907
10002,10111,977.3904109589041
10002,10112,961.8235294117648
10002,10115,1552.0645161290322
10002,10119,833.2403273809524
10002,10128,955.030303030303
10002,10154,828.1455696202531
10002,10165,916.6947368421053
10002,10167,791.0504201680673
10002,10168,719.1214953271028
10002,10170,716.8809523809524
10002,10173,904.5555555555555
10002,10174,653.3234421364986
10002,10199,904.3859649122807
10002,10278,461.9068702290076
10002,10280,710.8625954198474
10002,10282,754.8483146067416
10002,10303,1740.0
10002,10304,1560.0
10002,10305,1550.3333333333333
10002,10306,2401.0
10002,10311,2520.0
10002,10312,2340.0
10002,10451,1032.3333333333333
10002,10452,1283.6
10002,10453,1303.7272727272727
10002,10454,1260.0
10002,10455,1274.6
10002,10456,1290.0
10002,10457,1701.3333333333333
10002,10458,1658.0
10002,10459,1136.3333333333333
10002,10460,1320.0
10002,10461,1461.0
10002,10462,1471.0
10002,10463,1755.2857142857142
10002,10465,1200.0
10002,10467,1643.5
10002,10468,1510.0
10002,10470,1657.0
10002,10471,1540.0
10002,10472,1374.4
10002,10473,1200.0
10002,11040,1580.0
10002,11101,939.4375
10002,11102,1026.6363636363637
10002,11103,1043.2095238095237
10002,11104,855.5675675675676
10002,11105,1082.4727272727273
10002,11106,1183.069306930693
10002,11109,805.2903225806451
10002,11201,743.779792746114
10002,11203,1863.7777777777778
10002,11204,1306.75
10002,11205,782.9015151515151
10002,11206,656.5686274509804
10002,11207,1797.25
10002,11208,1940.0
10002,11209,1380.8709677419354
10002,11210,1734.5555555555557
10002,11211,486.16364952932656
10002,11212,1612.3333333333333
10002,11213,1202.121212121212
10002,11214,1665.6666666666667
10002,11215,1134.7977528089887
10002,11216,963.5547445255474
10002,11217,864.2737430167598
10002,11218,1101.642857142857
10002,11219,1352.0588235294117
10002,11220,1284.2142857142858
10002,11221,923.9615384615385
10002,11222,606.3670033670033
10002,11223,1844.4
10002,11224,1779.0
10002,11225,1160.278350515464
10002,11226,1300.0
10002,11228,1383.7142857142858
10002,11229,1922.0
10002,11230,1367.1818181818182
10002,11231,972.2547169811321
10002,11232,1127.4
10002,11233,1183.8048780487804
10002,11234,2187.5
10002,11235,2070.5384615384614
10002,11236,1949.0
10002,11237,1027.4375
10002,11238,1014.2393617021277
10002,11351,1500.0
10002,11354,1111.25
10002,11355,1141.5
10002,11357,1514.0
10002,11358,1756.25
10002,11361,1551.0
10002,11363,1260.0
10002,11364,1320.0
10002,11365,1106.3333333333333
10002,11366,1614.0
10002,11367,1355.3
10002,11368,890.6666666666666
10002,11369,1138.578313253012
10002,11370,875.3809523809524
10002,11371,1100.5824175824175
10002,11372,952.8235294117648
10002,11373,944.7647058823529
10002,11374,984.7931034482758
10002,11375,1073.9565217391305
10002,11377,797.25
10002,11378,813.6
10002,11379,1113.2857142857142
10002,11385,1271.1818181818182
10002,11411,1680.0
10002,11414,1572.0
10002,11415,1107.625
10002,11416,1620.0
10002,11417,1860.0
10002,11418,1654.75
10002,11420,1140.0
10002,11421,1345.7142857142858
10002,11422,1560.0
10002,11423,1293.0
10002,11427,1020.0
10002,11430,1842.7581699346406
10002,11432,1214.0
10002,11435,1304.5
10002,11436,1660.5
10002,11507,1429.0
10002,11576,1620.0
10002,11693,2210.0
10002,11694,2326.3333333333335
10002,12857,240.0
10003,7010,1816.0
10003,7011,2580.0
10003,7024,1020.0
10003,7030,1127.3488372093022
10003,7047,540.0
10003,7050,780.0
10003,7086,689.3333333333334
10003,7087,1424.25
10003,7093,1473.0
10003,7094,1320.0
10003,7102,1440.0
10003,7105,1680.0
10003,7106,1080.0
10003,7114,1814.692857142857
10003,7302,1175.6969696969697
10003,7304,960.0
10003,7305,1080.0
10003,7306,1418.0
10003,7307,1121.8181818181818
10003,7310,1021.4
10003,7432,2711.0
10003,7640,480.0
10003,7656,2820.0
10003,7666,1440.0
10003,7670,3780.0
10003,7732,1020.0
10003,7762,720.0
10003,7928,300.0
10003,7945,1320.0
10003,10001,676.96
10003,10002,625.4077496274217
10003,10003,292.28461997612413
10003,10004,792.0498783454988
10003,10005,963.6737588652483
10003,10006,770.516567544605
10003,10007,658.6302521008404
10003,10009,412.3210420841683
10003,10010,325.1550832314493
10003,10011,504.3335172413793
10003,10012,399.0606615243823
10003,10013,561.4451679232351
10003,10014,418.8631984585742
10003,10016,418.54790655682206
10003,10017,518.4396456256922
10003,10018,685.7499027615713
