pickup_zipcode,dropoff_zipcode,trip_time_in_secs
10005,10020,1188.0
10005,10021,1290.0
10005,10022,1046.6666666666667
10005,10024,1200.0
10005,10025,1320.0
10005,10029,840.0
10005,10036,780.0
10005,10038,197.14285714285714
10005,10065,967.5
10005,10069,900.0
10005,10075,1212.0
10005,10103,420.0
10005,10111,1560.0
10005,10112,1320.0
10005,10119,1302.857142857143
10005,10128,2040.0
10005,10154,810.0
10005,10165,1920.0
10005,10167,1335.0
10005,10168,930.0
10005,10170,1140.0
10005,10173,1125.0
10005,10174,880.0
10005,10199,1440.0
10005,10278,588.0
10005,10280,580.0
10005,10282,700.0
10005,11102,1200.0
10005,11201,353.3333333333333
10005,11205,720.0
10005,11211,640.0
10005,11217,460.0
10005,11218,630.0
10005,11220,600.0
10005,11222,660.0
10005,11231,800.0
10005,11371,1980.0
10005,11372,1140.0
10005,11430,1440.0
10006,7114,1821.8181818181818
10006,7306,1110.0
10006,7310,1620.0
10006,10001,840.0
10006,10002,684.375
10006,10003,772.3076923076923
10006,10004,404.2105263157895
10006,10005,300.0
10006,10006,407.4193548387097
10006,10007,337.94117647058823
10006,10009,722.9629629629629
10006,10010,945.981308411215
10006,10011,754.7647058823529
10006,10012,621.015228426396
10006,10013,391.81208053691273
10006,10014,600.6589147286821
10006,10016,947.710843373494
10006,10017,898.1818181818181
10006,10018,968.75
10006,10019,1068.9795918367347
10006,10020,1209.4444444444443
10006,10021,1143.0
10006,10022,1279.655172413793
10006,10023,1270.7692307692307
10006,10024,1206.6666666666667
10006,10025,1320.0
10006,10026,1426.6666666666667
10006,10027,1380.0
10006,10028,1135.0
10006,10029,1226.6666666666667
10006,10030,1500.0
10006,10031,1560.0
10006,10032,1380.0
10006,10033,1830.0
10006,10035,2040.0
10006,10036,1010.9090909090909
10006,10037,2010.0
10006,10038,355.38461538461536
10006,10040,1560.0
10006,10044,945.0
10006,10065,1101.9512195121952
10006,10069,1152.6315789473683
10006,10075,1129.4117647058824
10006,10103,500.0
10006,10111,1310.2702702702702
10006,10112,1200.0
10006,10115,1440.0
10006,10119,901.2121212121212
10006,10128,1228.888888888889
10006,10154,1254.4186046511627
10006,10165,1197.142857142857
10006,10167,1164.0
10006,10168,913.3333333333334
10006,10170,930.0
10006,10173,1212.3809523809523
10006,10174,902.6666666666666
10006,10199,849.2307692307693
10006,10278,519.7590361445783
10006,10280,393.75
10006,10282,341.9178082191781
10006,10305,1500.0
10006,10452,1140.0
10006,10462,1950.0
10006,10463,1620.0
10006,11101,3240.0
10006,11102,1440.0
10006,11103,1680.0
10006,11104,1308.0
10006,11105,1230.0
10006,11106,1230.0
10006,11109,1140.0
10006,11201,729.2307692307693
10006,11205,1015.7142857142857
10006,11206,1040.0
10006,11208,1740.0
10006,11209,1215.0
10006,11211,967.5
10006,11212,2040.0
10006,11213,1320.0
10006,11214,1290.0
10006,11215,1067.142857142857
10006,11216,1320.0
10006,11217,1050.909090909091
10006,11218,960.0
10006,11219,1380.0
10006,11220,930.0
10006,11221,1220.0
10006,11222,1210.0
10006,11223,1575.0
10006,11224,1380.0
10006,11225,1290.0
10006,11226,1125.0
10006,11228,1100.0
10006,11229,1695.0
10006,11230,1270.0
10006,11231,938.1818181818181
10006,11233,2340.0
10006,11235,1260.0
10006,11237,1455.0
10006,11238,1150.0
10006,11354,1560.0
10006,11355,2160.0
10006,11358,1320.0
10006,11363,2040.0
10006,11367,1260.0
10006,11368,1800.0
10006,11369,1981.5
10006,11370,1980.0
10006,11371,1800.0
10006,11372,1140.0
10006,11373,1524.0
10006,11374,1420.0
10006,11375,2010.0
10006,11377,1215.0
10006,11378,1020.0
10006,11379,1120.0
10006,11385,1260.0
10006,11414,1980.0
10006,11415,1200.0
10006,11416,1380.0
10006,11417,1800.0
10006,11430,2302.5
10006,11432,1620.0
10006,11436,2100.0
10007,7002,960.0
10007,7114,1530.0
10007,7302,885.0
10007,7304,1260.0
10007,7310,660.0
10007,8837,2340.0
10007,10001,738.75
10007,10002,673.7142857142857
10007,10003,626.0571428571428
10007,10004,401.2903225806452
10007,10005,558.0
10007,10006,322.5
10007,10007,218.50746268656715
10007,10009,706.2385321100918
10007,10010,813.4883720930233
10007,10011,607.4074074074074
10007,10012,458.743661971831
10007,10013,302.53968253968253
10007,10014,477.3799126637555
10007,10016,908.6486486486486
10007,10017,921.5384615384615
10007,10018,894.1935483870968
10007,10019,994.2857142857143
10007,10020,1121.0526315789473
10007,10021,1228.6363636363637
10007,10022,1144.8648648648648
10007,10023,1041.25
10007,10024,1218.2608695652175
10007,10025,1292.142857142857
10007,10026,1650.0
10007,10027,1260.0
10007,10028,1258.952380952381
10007,10029,1230.0
10007,10030,1530.0
10007,10031,1425.0
10007,10032,1280.0
10007,10033,1420.0
10007,10034,1710.0
10007,10035,1620.0
10007,10036,931.8181818181819
10007,10037,2220.0
10007,10038,368.1774193548387
10007,10039,1428.0
10007,10040,1620.0
10007,10044,1116.0
10007,10065,1150.8
10007,10069,907.5
10007,10075,1120.4347826086957
10007,10103,483.75
10007,10111,1117.9591836734694
10007,10112,1003.2558139534884
10007,10115,2160.0
10007,10119,712.8867924528302
10007,10128,1331.0526315789473
10007,10154,1115.625
10007,10165,951.8181818181819
10007,10167,1216.6666666666667
10007,10168,1001.5384615384615
10007,10170,940.0
10007,10173,981.9354838709677
10007,10174,916.5957446808511
10007,10199,592.5
10007,10278,328.2352941176471
10007,10280,348.75
10007,10282,357.55102040816325
10007,10304,1560.0
10007,10305,1860.0
10007,10306,1860.0
10007,10451,2100.0
10007,10453,1500.0
10007,10454,1020.0
10007,10456,2640.0
10007,10462,1650.0
10007,10463,1740.0
10007,10467,2010.0
10007,10470,1920.0
10007,10471,1860.0
10007,10475,1860.0
10007,10550,1920.0
10007,11101,1200.0
10007,11102,1474.2857142857142
10007,11103,1215.0
10007,11104,1690.0
10007,11105,1380.0
10007,11106,1551.4285714285713
10007,11109,1000.0
10007,11201,588.433734939759
10007,11204,1080.0
10007,11205,943.448275862069
10007,11206,1050.0
10007,11209,1296.0
10007,11210,1395.0
10007,11211,933.75
10007,11212,1500.0
10007,11213,1305.0
10007,11215,1020.0
10007,11216,1122.857142857143
10007,11217,842.7906976744187
10007,11218,900.0
10007,11220,840.0
10007,11221,1714.2857142857142
10007,11222,1064.3478260869565
10007,11224,1290.0
10007,11225,1296.0
10007,11226,1110.0
10007,11228,1230.0
10007,11229,1906.3333333333333
10007,11230,1170.0
10007,11231,777.5
10007,11232,1125.0
10007,11233,1350.0
10007,11235,2160.0
10007,11236,2160.0
10007,11237,1488.0
10007,11238,1013.3333333333334
10007,11355,1620.0
10007,11361,1620.0
10007,11366,1800.0
10007,11369,1967.2727272727273
10007,11370,1248.0
10007,11371,1618.5365853658536
10007,11372,2220.0
10007,11374,1240.0
10007,11375,1290.0
10007,11377,1110.0
10007,11378,1700.0
10007,11379,1140.0
10007,11385,1740.0
10007,11414,2100.0
10007,11415,1380.0
10007,11420,1680.0
10007,11430,2584.0
10007,11432,1960.0
10007,11436,2100.0
10009,7010,1740.0
10009,7024,900.0
10009,7030,1300.0
10009,7087,2580.0
10009,7114,1820.0
10009,7310,980.0
10009,10001,900.0
10009,10002,381.6690909090909
10009,10003,337.04106280193236
10009,10004,560.983606557377
10009,10005,637.8947368421053
10009,10006,783.6756756756756
10009,10007,729.0
10009,10009,234.46666666666667
10009,10010,391.26837060702877
10009,10011,764.5862068965517
10009,10012,428.19882179675994
10009,10013,683.6974789915967
10009,10014,615.2767857142857
10009,10016,532.956416464891
10009,10017,480.86341463414635
10009,10018,923.1147540983607
10009,10019,1108.5212765957447
10009,10020,990.0955414012739
10009,10021,724.0677966101695
10009,10022,702.4719101123595
10009,10023,1156.9811320754718
10009,10024,1184.5871559633028
10009,10025,1324.2133333333334
10009,10026,1256.5714285714287
10009,10027,1290.0
10009,10028,812.48125
10009,10029,957.5510204081633
10009,10030,1246.1538461538462
10009,10031,1449.3333333333333
10009,10032,1180.0
10009,10033,1285.0
10009,10034,1520.0
10009,10035,930.7272727272727
10009,10036,1018.6509433962265
10009,10037,947.5
10009,10038,582.9473684210526
10009,10039,1324.6153846153845
10009,10040,1293.3333333333333
10009,10044,748.8
10009,10065,666.9017341040462
10009,10069,1171.764705882353
10009,10075,778.448275862069
10009,10103,531.4285714285714
10009,10111,945.0
10009,10112,829.7142857142857
10009,10115,1540.0
10009,10119,705.6586620926244
10009,10128,851.1111111111111
10009,10154,683.6333333333333
10009,10165,849.375
10009,10167,734.0952380952381
10009,10168,616.2428571428571
10009,10170,564.8275862068965
10009,10173,830.25
10009,10174,549.3048128342245
10009,10199,726.6666666666666
